Water,Eau,Wasser,Acqua,みず,물,Agua
Low Kick,Balayage,Fußkick,Colpo Basso,けたぐり,안다리걸기,Patada Baja
Counter,Riposte,Konter,Contatore,カウンター,카운터,Contraataque
Seismic Toss,Frappe Atlas,Geowurf,Movim. Sismico,ちきゅうなげ,지구던지기,Mov. Sísmico
Strength,Force,Stärke,Forza,かいりき,괴력,Fuerza
Absorb,Vol-Vie,Absorber,Assorbimento,すいとる,흡수,Absorber
Mega Drain,Méga-Sangsue,Megasauger,Megassorbimento,メガドレイン,메가드레인,Megaagotar
Leech Seed,Vampigraine,Egelsamen,Parassiseme,やどりぎのたね,씨뿌리기,Drenadoras
Growth,Croissance,Wachstum,Crescita,せいちょう,성장,Desarrollo
Razor Leaf,Tranch'Herbe,Rasierblatt,Foglielama,はっぱカッター,잎날가르기,Hoja Afilada
Solar Beam,Lance-Soleil,Solarstrahl,Solarraggio,ソーラービーム,솔라빔,Rayo Solar
Poison Powder,Poudre Toxik,Giftpuder,Velenpolvere,どくのこな,독가루,Polvo Veneno
Stun Spore,Para-Spore,Stachelspore,Paralizzante,しびれごな,저리가루,Paralizador
Sleep Powder,Poudre Dodo,Schlafpuder,Sonnifero,ねむりごな,수면가루,Somnífero
Petal Dance,Danse-Fleur,Blättertanz,Petalodanza,はなびらのまい,꽃잎댄스,Danza Pétalo
String Shot,Sécrétion,Fadenschuss,Millebave,いとをはく,실뿜기,Disparo Demora
Dragon Rage,Draco-Rage,Drachenwut,Ira di Drago,りゅうのいかり,용의분노,Furia Dragón
Fire Spin,Danse Flamme,Feuerwirbel,Turbofuoco,ほのおのうず,회오리불꽃,Giro Fuego
Thunder Shock,Éclair,Donnerschock,Tuonoshock,でんきショック,전기쇼크,Impactrueno
Thunderbolt,Tonnerre,Donnerblitz,Fulmine,１０まんボルト,１０만볼트,Rayo
Thunder Wave,Cage-Éclair,Donnerwelle,Tuononda,でんじは,전기자석파,Onda Trueno
Thunder,Fatal-Foudre,Donner,Tuono,かみなり,번개,Trueno
Rock Throw,Jet-Pierres,Steinwurf,Sassata,いわおとし,돌떨구기,Lanzarrocas
Earthquake,Séisme,Erdbeben,Terremoto,じしん,지진,Terremoto
Fissure,Abîme,Geofissur,Abisso,じわれ,땅가르기,Fisura
Dig,Tunnel,Schaufler,Fossa,あなをほる,구멍파기,Excavar
Toxic,Toxik,Toxin,Tossina,どくどく,맹독,Tóxico
Confusion,Choc Mental,Konfusion,Confusione,ねんりき,염동력,Confusión
Psychic,Psyko,Psychokinese,Psichico,サイコキネシス,사이코키네시스,Psíquico
Hypnosis,Hypnose,Hypnose,Ipnosi,さいみんじゅつ,최면술,Hipnosis
Meditate,Yoga,Meditation,Meditazione,ヨガのポーズ,요가포즈,Meditación
Agility,Hâte,Agilität,Agilità,こうそくいどう,고속이동,Agilidad
Quick Attack,Vive-Attaque,Ruckzuckhieb,Attacco Rapido,でんこうせっか,전광석화,Ataque Rápido
Rage,Frénésie,Raserei,Ira,いかり,분노,Furia
Teleport,Téléport,Teleport,Teletrasporto,テレポート,순간이동,Teletransporte
Night Shade,Ombre Nocturne,Nachtnebel,Ombra Notturna,ナイトヘッド,나이트헤드,Tinieblas
Mimic,Copie,Mimikry,Mimica,ものまね,흉내내기,Mimético
Screech,Grincement,Kreideschrei,Stridio,いやなおと,싫은소리,Chirrido
Double Team,Reflet,Doppelteam,Doppioteam,かげぶんしん,그림자분신,Doble Equipo
Recover,Soin,Genesung,Ripresa,じこさいせい,HP회복,Recuperación
Harden,Armure,Härtner,Rafforzatore,かたくなる,단단해지기,Fortaleza
Minimize,Lilliput,Komprimator,Minimizzato,ちいさくなる,작아지기,Reducción
Smokescreen,Brouillard,Rauchwolke,Muro di Fumo,えんまく,연막,Pantallahumo
Confuse Ray,Onde Folie,Konfustrahl,Stordiraggio,あやしいひかり,이상한빛,Rayo Confuso
Withdraw,Repli,Panzerschutz,Ritirata,からにこもる,껍질에숨기,Refugio
Defense Curl,Boul'Armure,Einigler,Ricciolscudo,まるくなる,웅크리기,Rizo Defensa
Barrier,Bouclier,Barriere,Barriera,バリアー,배리어,Barrera
Light Screen,Mur Lumière,Lichtschild,Schermoluce,ひかりのかべ,빛의장막,Pantalla Luz
Haze,Buée Noire,Dunkelnebel,Nube,くろいきり,흑안개,Niebla
Reflect,Protection,Reflektor,Riflesso,リフレクター,리플렉터,Reflejo
Focus Energy,Puissance,Energiefokus,Focalenergia,きあいだめ,기충전,Foco Energía
Bide,Patience,Geduld,Pazienza,がまん,참기,Venganza
Metronome,Métronome,Metronom,Metronomo,ゆびをふる,손가락흔들기,Metrónomo
Mirror Move,Mimique,Spiegeltrick,Speculmossa,オウムがえし,따라하기,Mov. Espejo
Self-Destruct,Destruction,Finale,Autodistruzione,じばく,자폭,Autodestrucción
Egg Bomb,Bomb'Œuf,Eierbombe,Uovobomba,タマゴばくだん,알폭탄,Bomba Huevo
Lick,Léchouille,Schlecker,Leccata,したでなめる,핥기,Lengüetazo
Smog,Purédpois,Smog,Smog,スモッグ,스모그,Polución
Sludge,Détritus,Schlammbad,Fango,ヘドロこうげき,오물공격,Residuos
Bone Club,Massd'Os,Knochenkeule,Ossoclava,ホネこんぼう,뼈다귀치기,Hueso Palo
Fire Blast,Déflagration,Feuersturm,Fuocobomba,だいもんじ,불대문자,Llamarada
Waterfall,Cascade,Kaskade,Cascata,たきのぼり,폭포오르기,Cascada
Clamp,Claquoir,Schnapper,Tenaglia,からではさむ,껍질끼우기,Tenaza
Swift,Météores,Sternschauer,Comete,スピードスター,스피드스타,Rapidez
Skull Bash,Coud'Krâne,Schädelwumme,Capocciata,ロケットずつき,로케트박치기,Cabezazo
Spike Cannon,Picanon,Dornkanone,Sparalance,とげキャノン,가시대포,Clavo Cañón
Constrict,Constriction,Umklammerung,Limitazione,からみつく,휘감기,Restricción
Amnesia,Amnésie,Amnesie,Amnesia,ドわすれ,망각술,Amnesia
Kinesis,Télékinésie,Psykraft,Cinèsi,スプーンまげ,숟가락휘기,Kinético
Soft-Boiled,E-Coque,Weichei,Covauova,タマゴうみ,알낳기,Amortiguador
High Jump Kick,Pied Voltige,Turmkick,Calcinvolo,とびひざげり,무릎차기,Pat. Salto Alta
Glare,Regard Médusant,Giftblick,Sguardo Feroce,へびにらみ,뱀의미소,Deslumbrar
Dream Eater,Dévorêve,Traumfresser,Mangiasogni,ゆめくい,꿈먹기,Comesueños
Poison Gas,Gaz Toxik,Giftwolke,Velenogas,どくガス,독가스,Gas Venenoso
Barrage,Pilonnage,Stakkato,Attacco Pioggia,たまなげ,구슬던지기,Presa
Leech Life,Vampirisme,Blutsauger,Sanguisuga,きゅうけつ,흡혈,Chupavidas
Lovely Kiss,Grobisou,Todeskuss,Demonbacio,あくまのキッス,악마의키스,Beso Amoroso
Sky Attack,Piqué,Himmelsfeger,Aeroattacco,ゴッドバード,불새,Ataque Aéreo
Transform,Morphing,Wandler,Trasformazione,へんしん,변신,Transformación
Bubble,Écume,Blubber,Bolla,あわ,거품,Burbuja
Dizzy Punch,Uppercut,Irrschlag,Stordipugno,ピヨピヨパンチ,잼잼펀치,Puño Mareo
Spore,Spore,Pilzspore,Spora,キノコのほうし,버섯포자,Espora
Flash,Flash,Blitz,Flash,フラッシュ,플래시,Destello
Psywave,Vague Psy,Psywelle,Psiconda,サイコウェーブ,사이코웨이브,Psicoonda
Splash,Trempette,Platscher,Splash,はねる,튀어오르기,Salpicadura
Acid Armor,Acidarmure,Säurepanzer,Scudo Acido,とける,녹기,Armadura Ácida
Crabhammer,Pince-Masse,Krabbhammer,Martellata,クラブハンマー,찝게햄머,Martillazo
Explosion,Explosion,Explosion,Esplosione,だいばくはつ,대폭발,Explosión
Fury Swipes,Combo-Griffe,Kratzfurie,Sfuriate,みだれひっかき,마구할퀴기,Golpes Furia
Bonemerang,Osmerang,Knochmerang,Ossomerang,ホネブーメラン,뼈다귀부메랑,Huesomerang
Rest,Repos,Erholung,Riposo,ねむる,잠자기,Descanso
Rock Slide,Éboulement,Steinhagel,Frana,いわなだれ,스톤샤워,Avalancha
Hyper Fang,Croc de Mort,Hyperzahn,Iperzanna,ひっさつまえば,필살앞니,Hiper Colmillo
Sharpen,Affûtage,Schärfer,Affilatore,かくばる,각지기,Afilar
Conversion,Conversion,Umwandlung,Conversione,テクスチャー,텍스처,Conversión
Tri Attack,Triplattaque,Triplette,Tripletta,トライアタック,트라이어택,Triataque
Super Fang,Croc Fatal,Superzahn,Superzanna,いかりのまえば,분노의앞니,Superdiente
Slash,Tranche,Schlitzer,Lacerazione,きりさく,베어가르기,Cuchillada
Substitute,Clonage,Delegator,Sostituto,みがわり,대타출동,Sustituto
Struggle,Lutte,Verzweifler,Scontro,わるあがき,발버둥,Combate
Sketch,Gribouille,Nachahmer,Schizzo,スケッチ,스케치,Esquema
Triple Kick,Triple Pied,Dreifachkick,Triplocalcio,トリプルキック,트리플킥,Triple Patada
Thief,Larcin,Raub,Furto,どろぼう,도둑질,Ladrón
Spider Web,Toile,Spinnennetz,Ragnatela,クモのす,거미집,Telaraña
Mind Reader,Lire-Esprit,Willensleser,Leggimente,こころのめ,마음의눈,Telépata
Nightmare,Cauchemar,Nachtmahr,Incubo,あくむ,악몽,Pesadilla
Flame Wheel,Roue de Feu,Flammenrad,Ruotafuoco,かえんぐるま,화염자동차,Rueda Fuego
Snore,Ronflement,Schnarcher,Russare,いびき,코골기,Ronquido
Curse,Malédiction,Fluch,Maledizione,のろい,저주,Maldición
Flail,Fléau,Dreschflegel,Flagello,じたばた,바둥바둥,Azote
Conversion 2,Conversion2,Umwandlung2,Conversione2,テクスチャー２,텍스처２,Conversión2
Aeroblast,Aéroblast,Luftstoß,Aerocolpo,エアロブラスト,에어로블라스트,Aerochorro
Cotton Spore,Spore Coton,Baumwollsaat,Cottonspora,わたほうし,목화포자,Esporagodón
Reversal,Contre,Gegenschlag,Contropiede,きしかいせい,기사회생,Inversión
Spite,Dépit,Groll,Dispetto,うらみ,원한,Rencor
Powder Snow,Poudreuse,Pulverschnee,Polneve,こなゆき,눈싸라기,Nieve Polvo
Protect,Abri,Schutzschild,Protezione,まもる,방어,Protección
Mach Punch,Mach Punch,Tempohieb,Pugnorapido,マッハパンチ,마하펀치,Ultrapuño
Scary Face,Grimace,Grimasse,Visotruce,こわいかお,겁나는얼굴,Cara Susto
Feint Attack,Feinte,Finte,Finta,だましうち,속여때리기,Finta
Sweet Kiss,Doux Baiser,Bitterkuss,Dolcebacio,てんしのキッス,천사의키스,Beso Dulce
Belly Drum,Cognobidon,Bauchtrommel,Panciamburo,はらだいこ,배북,Tambor
Sludge Bomb,Bomb-Beurk,Matschbombe,Fangobomba,ヘドロばくだん,오물폭탄,Bomba Lodo
Mud-Slap,Coud'Boue,Lehmschelle,Fangosberla,どろかけ,진흙뿌리기,Bofetón Lodo
Octazooka,Octazooka,Octazooka,Octazooka,オクタンほう,대포무노포,Pulpocañón
Spikes,Picots,Stachler,Punte,まきびし,압정뿌리기,Púas
Zap Cannon,Élecanon,Blitzkanone,Falcecannone,でんじほう,전자포,Electrocañón
Foresight,Clairvoyance,Gesichte,Preveggenza,みやぶる,꿰뚫어보기,Profecía
Destiny Bond,Prélèvem. Destin,Abgangsbund,Destinobbligato,みちづれ,길동무,Mismo Destino
Perish Song,Requiem,Abgesang,Ultimocanto,ほろびのうた,멸망의노래,Canto Mortal
Icy Wind,Vent Glace,Eissturm,Ventogelato,こごえるかぜ,얼다바람,Viento Hielo
Detect,Détection,Scanner,Individua,みきり,선찰,Detección
Bone Rush,Charge-Os,Knochenhatz,Ossoraffica,ボーンラッシュ,본러쉬,Ataque Óseo
Lock-On,Verrouillage,Zielschuss,Localizza,ロックオン,록온,Fijar Blanco
Outrage,Colère,Wutanfall,Oltraggio,げきりん,역린,Enfado
Sandstorm,Tempête de Sable,Sandsturm,Terrempesta,すなあらし,모래바람,Tormenta Arena
Giga Drain,Giga-Sangsue,Gigasauger,Gigassorbimento,ギガドレイン,기가드레인,Gigadrenado
Endure,Ténacité,Ausdauer,Resistenza,こらえる,버티기,Aguante
Charm,Charme,Charme,Fascino,あまえる,애교부리기,Encanto
Rollout,Roulade,Walzer,Rotolamento,ころがる,구르기,Desenrollar
False Swipe,Faux-Chage,Trugschlag,Falsofinale,みねうち,칼등치기,Falsotortazo
Swagger,Vantardise,Angeberei,Bullo,いばる,뽐내기,Contoneo
Milk Drink,Lait à Boire,Milchgetränk,Buonlatte,ミルクのみ,우유마시기,Batido
Spark,Étincelle,Funkensprung,Scintilla,スパーク,스파크,Chispa
Fury Cutter,Taillade,Zornklinge,Tagliofuria,れんぞくぎり,연속자르기,Cortefuria
Steel Wing,Aile d’Acier,Stahlflügel,Alacciaio,はがねのつばさ,강철날개,Ala De Acero
Mean Look,Regard Noir,Horrorblick,Malosguardo,くろいまなざし,검은눈빛,Mal De Ojo
Attract,Attraction,Anziehung,Attrazione,メロメロ,헤롱헤롱,Atracción
Sleep Talk,Blabla Dodo,Schlafrede,Sonnolalia,ねごと,잠꼬대,Sonámbulo
Heal Bell,Glas de Soin,Vitalglocke,Rintoccasana,いやしのすず,치료방울,Campana Cura
Return,Retour,Rückkehr,Ritorno,おんがえし,은혜갚기,Retribución
Present,Cadeau,Geschenk,Regalino,プレゼント,프레젠트,Presente
Frustration,Frustration,Frustration,Frustrazione,やつあたり,화풀이,Frustración
Safeguard,Rune Protect,Bodyguard,Salvaguardia,しんぴのまもり,신비의부적,Velo Sagrado
Pain Split,Balance,Leidteiler,Malcomune,いたみわけ,아픔나누기,Divide Dolor
Sacred Fire,Feu Sacré,Läuterfeuer,Magifuoco,せいなるほのお,성스러운불꽃,Fuego Sagrado
Magnitude,Ampleur,Intensität,Magnitudo,マグニチュード,매그니튜드,Magnitud
Dynamic Punch,Dynamopoing,Wuchtschlag,Dinamipugno,ばくれつパンチ,폭발펀치,Puño Dinámico
Megahorn,Mégacorne,Vielender,Megacorno,メガホーン,메가폰,Megacuerno
Dragon Breath,Dracosouffle,Feuerodem,Dragospiro,りゅうのいぶき,용의숨결,Dragoaliento
Baton Pass,Relais,Staffette,Staffetta,バトンタッチ,바톤터치,Relevo
Encore,Encore,Zugabe,Ripeti,アンコール,앵콜,Otra Vez
Pursuit,Poursuite,Verfolgung,Inseguimento,おいうち,따라가때리기,Persecución
Rapid Spin,Tour Rapide,Turbodreher,Rapigiro,こうそくスピン,고속스핀,Giro Rápido
Sweet Scent,Doux Parfum,Lockduft,Profumino,あまいかおり,달콤한향기,Dulce Aroma
Iron Tail,Queue de Fer,Eisenschweif,Codacciaio,アイアンテール,아이언테일,Cola Férrea
Metal Claw,Griffe Acier,Metallklaue,Ferrartigli,メタルクロー,메탈크로우,Garra Metal
Vital Throw,Corps Perdu,Überwurf,Vitaltiro,あてみなげ,받아던지기,Tiro Vital
Morning Sun,Aurore,Morgengrauen,Mattindoro,あさのひざし,아침햇살,Sol Matinal
Synthesis,Synthèse,Synthese,Sintesi,こうごうせい,광합성,Síntesis
Moonlight,Rayon Lune,Mondschein,Lucelunare,つきのひかり,달의불빛,Luz Lunar
Hidden Power,Puissance Cachée,Kraftreserve,Introforza,めざめるパワー,잠재파워,Poder Oculto
Cross Chop,Coup-Croix,Kreuzhieb,Incrocolpo,クロスチョップ,크로스촙,Tajo Cruzado
Twister,Ouragan,Windhose,Tornado,たつまき,회오리,Ciclón
Rain Dance,Danse Pluie,Regentanz,Pioggiadanza,あまごい,비바라기,Danza Lluvia
Sunny Day,Zénith,Sonnentag,Giornodisole,にほんばれ,쾌청,Día Soleado
Crunch,Mâchouille,Knirscher,Sgranocchio,かみくだく,깨물어부수기,Triturar
Mirror Coat,Voile Miroir,Spiegelcape,Specchiovelo,ミラーコート,미러코트,Manto Espejo
Psych Up,Boost,Psycho-Plus,Psicamisù,じこあんじ,자기암시,Más Psique
Extreme Speed,Vitesse Extrême,Turbotempo,Extrarapido,しんそく,신속,Veloc. Extrema
Ancient Power,Pouvoir Antique,Antik-Kraft,Forzantica,げんしのちから,원시의힘,Poder Pasado
Shadow Ball,Ball'Ombre,Spukball,Palla Ombra,シャドーボール,섀도볼,Bola Sombra
Future Sight,Prescience,Seher,Divinazione,みらいよち,미래예지,Premonición
Rock Smash,Éclate-Roc,Zertrümmerer,Spaccaroccia,いわくだき,바위깨기,Golpe Roca
Whirlpool,Siphon,Whirlpool,Mulinello,うずしお,바다회오리,Torbellino
Beat Up,Baston,Prügler,Picchiaduro,ふくろだたき,집단구타,Paliza
Fake Out,Bluff,Mogelhieb,Bruciapelo,ねこだまし,속이다,Sorpresa
Uproar,Brouhaha,Aufruhr,Baraonda,さわぐ,소란피기,Alboroto
Stockpile,Stockage,Horter,Accumulo,たくわえる,비축하기,Reserva
Spit Up,Relâche,Entfessler,Sfoghenergia,はきだす,토해내기,Escupir
Swallow,Avale,Verzehrer,Intoenergia,のみこむ,꿀꺽,Tragar
Heat Wave,Canicule,Hitzewelle,Ondacalda,ねっぷう,열풍,Onda Ígnea
Hail,Grêle,Hagelsturm,Grandine,あられ,싸라기눈,Granizo
Torment,Tourmente,Folterknecht,Attaccalite,いちゃもん,트집,Tormento
Flatter,Flatterie,Schmeichler,Adulazione,おだてる,부추기기,Camelo
Will-O-Wisp,Feu Follet,Irrlicht,Fuocofatuo,おにび,도깨비불,Fuego Fatuo
Memento,Souvenir,Memento-Mori,Memento,おきみやげ,추억의선물,Legado
Facade,Façade,Fassade,Facciata,からげんき,객기,Imagen
Focus Punch,Mitra-Poing,Power-Punch,Centripugno,きあいパンチ,힘껏펀치,Puño Certero
Smelling Salts,Stimulant,Riechsalz,Maniereforti,きつけ,정신차리기,Estímulo
Follow Me,Par Ici,Spotlight,Sonoqui,このゆびとまれ,날따름,Señuelo
Nature Power,Force-Nature,Natur-Kraft,Naturforza,しぜんのちから,자연의힘,Adaptación
Charge,Chargeur,Ladevorgang,Sottocarica,じゅうでん,충전,Carga
Taunt,Provoc,Verhöhner,Provocazione,ちょうはつ,도발,Mofa
Helping Hand,Coup d'Main,Rechte Hand,Altruismo,てだすけ,도우미,Refuerzo
Trick,Tourmagik,Trickbetrug,Raggiro,トリック,트릭,Truco
Role Play,Imitation,Rollentausch,Giocodiruolo,なりきり,역할,Imitación
Wish,Vœu,Wunschtraum,Desiderio,ねがいごと,희망사항,Deseo
Assist,Assistance,Zuschuss,Assistente,ねこのて,조수,Ayuda
Ingrain,Racines,Verwurzler,Radicamento,ねをはる,뿌리박기,Arraigo
Superpower,Surpuissance,Kraftkoloss,Troppoforte,ばかぢから,엄청난힘,Fuerza Bruta
Magic Coat,Reflet Magik,Magiemantel,Magivelo,マジックコート,매직코트,Capa Mágica
Recycle,Recyclage,Aufbereitung,Riciclo,リサイクル,리사이클,Reciclaje
Revenge,Vendetta,Vergeltung,Vendetta,リベンジ,리벤지,Desquite
Brick Break,Casse-Brique,Durchbruch,Breccia,かわらわり,깨트리다,Demolición
Yawn,Bâillement,Gähner,Sbadiglio,あくび,하품,Bostezo
Knock Off,Sabotage,Abschlag,Privazione,はたきおとす,탁쳐서떨구기,Desarme
Endeavor,Effort,Notsituation,Rimonta,がむしゃら,죽기살기,Esfuerzo
Eruption,Éruption,Eruption,Eruzione,ふんか,분화,Estallido
Skill Swap,Échange,Wertewechsel,Baratto,スキルスワップ,스킬스웹,Intercambio
Imprison,Possessif,Begrenzer,Esclusiva,ふういん,봉인,Cerca
Refresh,Régénération,Heilung,Rinfrescata,リフレッシュ,리프레쉬,Alivio
Grudge,Rancune,Nachspiel,Rancore,おんねん,원념,Rabia
Snatch,Saisie,Übernahme,Scippo,よこどり,가로챔,Robo
Secret Power,Force Cachée,Geheimpower,Forzasegreta,ひみつのちから,비밀의힘,Daño Secreto
Dive,Plongée,Taucher,Sub,ダイビング,다이빙,Buceo
Arm Thrust,Cogne,Armstoß,Sberletese,つっぱり,손바닥치기,Empujón
Camouflage,Camouflage,Tarnung,Camuffamento,ほごしょく,보호색,Camuflaje
Tail Glow,Lumiqueue,Schweifglanz,Codadiluce,ほたるび,반딧불,Ráfaga
Luster Purge,Lumi-Éclat,Scheinwerfer,Abbagliante,ラスターパージ,라스트버지,Resplandor
Mist Ball,Ball'Brume,Nebelball,Foschisfera,ミストボール,미스트볼,Bola Neblina
Feather Dance,Danse-Plume,Daunenreigen,Danzadipiume,フェザーダンス,깃털댄스,Danza Pluma
Teeter Dance,Danse-Folle,Taumeltanz,Strampadanza,フラフラダンス,흔들흔들댄스,Danza Caos
Blaze Kick,Pied Brûleur,Feuerfeger,Calciardente,ブレイズキック,브레이즈킥,Patada Ígnea
Mud Sport,Lance-Boue,Lehmsuhler,Fangata,どろあそび,흙놀이,Chapoteo Lodo
Ice Ball,Ball'Glace,Frostbeule,Palla Gelo,アイスボール,아이스볼,Bola Hielo
Needle Arm,Poing Dard,Nietenranke,Pugnospine,ニードルアーム,바늘팔,Brazo Pincho
Slack Off,Paresse,Tagedieb,Pigro,なまける,태만함,Relajo
Hyper Voice,Mégaphone,Schallwelle,Granvoce,ハイパーボイス,하이퍼보이스,Vozarrón
Poison Fang,Crochet Venin,Giftzahn,Velenodenti,どくどくのキバ,독엄니,Colmillo Ven
Crush Claw,Éclate Griffe,Zermalmklaue,Tritartigli,ブレイククロー,브레이크크루,Garra Brutal
Blast Burn,Rafale Feu,Lohekanonade,Incendio,ブラストバーン,블러스트번,Anillo Ígneo
Hydro Cannon,Hydroblast,Aquahaubitze,Idrocannone,ハイドロカノン,하이드로캐논,Hidrocañón
Meteor Mash,Poing Météor,Sternenhieb,Meteorpugno,コメットパンチ,코멧펀치,Puño Meteoro
